Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage,Basic_characteristics
Alquiler de Piso en calle Cardenal Reig,1200.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,85.0,exterior,1.0,1.0,,"85 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada"
Alquiler de Casa o chalet independiente en calle dels Cavallers,12900.0,"Pedralbes, Barcelona",Profesional,6.0,585.0,,,,Garage included,"Casa o chalet independiente
585 m² construidos, 308 m² útiles
6 habitaciones
6 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur
Construido en 1995
Cocina equipada y casa sin amueblar
No dispone de calefacción"
Alquiler de Piso en calle del Capitán Arenas,5500.0,"Pedralbes, Barcelona",Profesional,6.0,232.0,exterior,6.0,1.0,Garage included,"232 m² construidos, 196 m² útiles
6 habitaciones
6 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Construido en 1983
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en calle del Capità Arenas,5500.0,"Pedralbes, Barcelona",Profesional,4.0,232.0,exterior,6.0,1.0,Garage included,"232 m² construidos
4 habitaciones
3 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Construido en 1983
Cocina equipada y casa sin amueblar
Calefacción central"
"Alquiler de Piso en calle del Capitán Arenas, 3",5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,6.0,1.0,Garage included,"232 m² construidos, 196 m² útiles
5 habitaciones
5 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este
Construido en 1983
Cocina equipada y casa sin amueblar
Calefacción individual"
Alquiler de Piso en calle del Marquès de Sentmenat,1980.0,"Les Corts, Barcelona",Profesional,3.0,102.0,exterior,6.0,1.0,Garage optional,"102 m² construidos, 94 m² útiles
3 habitaciones
2 baños
Balcón
Plaza de garaje por 160 €/mes adicionales
Segunda mano/buen estado
Armarios empotrados
Orientación sur, este
Construido en 1989
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en calle de Caballero,1700.0,"Les Corts, Barcelona",Profesional,3.0,80.0,exterior,2.0,1.0,,"80 m² construidos
3 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Construido en 1970
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle del taquígraf garriga,1500.0,"Les Corts, Barcelona",Profesional,2.0,62.0,exterior,8.0,1.0,Garage optional,"62 m² construidos
2 habitaciones
1 baño
Plaza de garaje por 100 €/mes adicionales
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Amueblado y cocina equipada"
"Alquiler de Piso en calle de Galileu, 338",1600.0,"Les Corts, Barcelona",Particular,3.0,86.0,exterior,3.0,1.0,,"86 m² construidos, 80 m² útiles
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Amueblado y cocina equipada"
Alquiler de Casa o chalet independiente en calle dels Cavallers,12900.0,"Pedralbes, Barcelona",Profesional,6.0,585.0,,,,Garage included,"Casa o chalet independiente
2 plantas
585 m² construidos, 310 m² útiles
6 habitaciones
6 baños
Parcela de 1.035 m²
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este
Construido en 1995
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en avenida de Sant Ramon Nonat,1800.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,70.0,exterior,1.0,0.0,,"70 m² construidos
3 habitaciones
1 baño
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur, este
Construido en 2024
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Casa o chalet independiente en calle de l'Abadessa Olzet,15000.0,"Pedralbes, Barcelona",Profesional,5.0,511.0,,,,Garage included,"Casa o chalet independiente
2 plantas
511 m² construidos
5 habitaciones
5 baños
Parcela de 985 m²
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Construido en 1958
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle dels Cavallers,6000.0,"Pedralbes, Barcelona",Agente,5.0,285.0,exterior,1.0,1.0,Garage included,"285 m² construidos, 231 m² útiles
5 habitaciones
4 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación norte, sur, este
Construido en 1976
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
