Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Piso en calle de Morales,1400.0,"Les Corts, Barcelona",Profesional,1.0,50.0,exterior,Bajo,0.0,
Alquiler de Piso en calle de Loreto,3000.0,"Les Corts, Barcelona",Profesional,2.0,254.0,exterior,7.0,1.0,
Alquiler de Piso en calle de la Riera Blanca,1500.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,2.0,71.0,exterior,4.0,1.0,
Alquiler de Piso en Passatge d'Albert Pinyol,1250.0,"Les Corts, Barcelona",Profesional,1.0,45.0,exterior,1.0,1.0,
Alquiler de Ático en calle de l'Alfambra,1795.0,"Pedralbes, Barcelona",Profesional,2.0,70.0,exterior,6.0,1.0,
Alquiler de Piso en calle del Marquès de Sentmenat,1980.0,"Les Corts, Barcelona",Profesional,3.0,102.0,exterior,6.0,1.0,Garage optional
Alquiler de Piso en calle del Taquígraf Garriga,2150.0,"Les Corts, Barcelona",Profesional,1.0,59.0,exterior,4.0,1.0,
Alquiler de Piso en calle del taquígraf garriga,1500.0,"Les Corts, Barcelona",Profesional,2.0,62.0,exterior,8.0,1.0,Garage optional
Alquiler de Piso en calle Cardenal Reig,1200.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,85.0,exterior,1.0,1.0,
Alquiler de Casa o chalet independiente en calle dels Cavallers,12900.0,"Pedralbes, Barcelona",Profesional,6.0,585.0,,,,Garage included
Alquiler de Piso en calle del Capitán Arenas,5500.0,"Pedralbes, Barcelona",Profesional,6.0,232.0,exterior,6.0,1.0,Garage included
Alquiler de Piso en travesía de les Corts,3900.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,7.0,1.0,Garage optional
Alquiler de Dúplex en calle del Regent Mendieta,1500.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,100.0,exterior,6.0,1.0,
Alquiler de Piso en Pedralbes,7500.0,"Les Corts, Barcelona",Profesional,5.0,193.0,exterior,7.0,1.0,Garage included
"Alquiler de Piso en calle del Capitán Arenas, 3",5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,6.0,1.0,Garage included
Alquiler de Piso en avenida de Sarrià,2200.0,"Les Corts, Barcelona",Profesional,3.0,150.0,,2.0,1.0,
Alquiler de Piso en calle dels Cavallers,6000.0,"Pedralbes, Barcelona",Agente,5.0,285.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en travesía de les Corts,3350.0,"Les Corts, Barcelona",Profesional,5.0,150.0,exterior,12.0,1.0,Garage included
Alquiler de Piso en avenida Diagonal,2400.0,"Les Corts, Barcelona",Profesional,2.0,77.0,exterior,9.0,1.0,
Alquiler de Piso en avenida de Madrid,2050.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,2.0,76.0,exterior,6.0,1.0,
Alquiler de Casa o chalet independiente en calle de l'Abadessa Olzet,15000.0,"Pedralbes, Barcelona",Profesional,5.0,511.0,,,,Garage included
Alquiler de Piso en paseo de Manuel Girona,2000.0,"Pedralbes, Barcelona",Profesional,2.0,58.0,exterior,Bajo,1.0,
Alquiler de Piso en avenida de Sarrià,2987.0,"Les Corts, Barcelona",Profesional,4.0,123.0,exterior,7.0,1.0,
Alquiler de Estudio en Pedralbes,2000.0,"Les Corts, Barcelona",Profesional,,27.0,interior,4.0,1.0,
Alquiler de Piso en calle de l'Abadessa Olzet,4442.0,"Pedralbes, Barcelona",Profesional,4.0,148.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en carretera de Collblanc,2330.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,124.0,exterior,8.0,1.0,Garage included
Alquiler de Piso en calle de Manuel Ballbè,7500.0,"Pedralbes, Barcelona",Profesional,5.0,300.0,exterior,7.0,1.0,Garage included
Alquiler de Casa o chalet independiente en Pedralbes,7000.0,"Les Corts, Barcelona",Profesional,4.0,270.0,,,,
Alquiler de Piso en calle de Galileu,2100.0,"Les Corts, Barcelona",Profesional,3.0,77.0,exterior,Entreplanta,1.0,
Alquiler de Piso en Pedralbes,5866.0,"Les Corts, Barcelona",Profesional,4.0,220.0,exterior,,1.0,Garage included
Alquiler de Piso en calle del Capitán Arenas,5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,,1.0,Garage included
Alquiler de Piso en calle de Beltrán i Rózpide,2560.0,"Pedralbes, Barcelona",Profesional,2.0,80.0,exterior,10.0,1.0,
Alquiler de Piso en La Maternitat i Sant Ramon,2100.0,"Les Corts, Barcelona",Profesional,4.0,90.0,exterior,4.0,1.0,
Alquiler de Casa o chalet independiente en avenida de Pearson,24000.0,"Pedralbes, Barcelona",Profesional,7.0,700.0,,,,Garage included
Alquiler de Casa o chalet independiente en Pedralbes,7500.0,"Les Corts, Barcelona",Profesional,4.0,270.0,,,,
